segment,timestamp,longitude,latitude,altitude,horizontal accuracy,vertical accuracy,speed,speed accuracy,course,course accuracy
1,2026-07-25T04:18:36.999637Z,75.36010984060182,12.037135188892838,47.90169814508408,7.657748054055789,4.278769676399054,1.8832980549415017,0.8960000686259818,351.9877552901725,38.550136760246254
1,2026-07-25T04:18:37.999638Z,75.36010697183394,12.03715524756616,47.99999037664384,7.657748054041805,4.243149194169522,1.7927835965518848,0.8967931662055136,349.77423876950184,40.532201339464734
1,2026-07-25T04:18:38.999639Z,75.36010973276865,12.037161019281967,47.70215699542314,7.657748051231203,4.088670526255914,1.7643496896057485,1.0342833051293037,349.826811591417,47.49982810533593
1,2026-07-25T04:18:39.999638Z,75.36010806981771,12.037168669353992,47.47267324663699,7.479337331927779,4.117240252809063,1.8804355730254527,0.9029674185482127,355.1502841111191,38.90907383630839
1,2026-07-25T04:18:40.999638Z,75.36011069783778,12.03717768945026,47.269586423411965,7.364743966748072,3.980169114930661,1.7815333110724685,1.0321682104476493,2.430845730054455,46.945471273475064
1,2026-07-25T04:18:41.999639Z,75.36011615180857,12.037186872180836,47.04575973097235,7.198889660822412,3.7876020842890386,1.65265341799067,1.1559076487046192,16.089067082952585,56.67299592624464
1,2026-07-25T04:18:42.999638Z,75.36012191292436,12.037202497998596,46.70790485665202,7.198889676775718,4.0766038603238535,1.7637908893437506,1.030879822532076,17.945753266517638,47.355322829932575
1,2026-07-25T04:18:43.999639Z,75.36013346426446,12.037213359427275,46.53420860879123,7.198889675175131,4.307312791785109,1.8053646655654523,1.0339393145579836,34.22725035524663,46.40255860863808
1,2026-07-25T04:18:44.999638Z,75.3601540582982,12.037222963581005,46.508167400956154,7.198889666602629,4.524629599694479,1.96137004437024,1.0348781738048343,48.693925237434904,42.752986821203336
1,2026-07-25T04:18:45.999639Z,75.36017172021626,12.037228302796228,46.54807644803077,7.073446871698116,4.612200655290893,1.9292171920395789,0.8923468811171942,58.81973088161062,37.47763374200957
1,2026-07-25T04:18:46.999638Z,75.36018268699182,12.037232102482651,46.285390669479966,7.399974302830846,4.818253292263486,1.7933044628955739,1.042120086804385,64.85910297329157,47.08702186022507
1,2026-07-25T04:18:47.999099Z,75.36018883703468,12.037237766609739,46.30257988348603,6.972797986724817,4.115115244783995,1.6892163717462956,1.1513882734618168,68.46708608428737,55.227598507846544
1,2026-07-25T04:18:48.999089Z,75.36019603888302,12.037238134737173,46.108752145431936,6.6932814036817465,4.109492725410729,1.5489688995819904,1.0359419493775697,73.42971978302964,54.19079549094961
1,2026-07-25T04:18:49.999090Z,75.36021117862659,12.037236254875687,45.844073155894876,6.318898352972834,3.885952424412587,1.5253721957450852,1.040226531204677,77.51870358137455,55.25662485327119
1,2026-07-25T04:18:50.999082Z,75.36022201277231,12.037241396007243,45.7287811646238,6.130606379509908,4.04916334027723,1.526588869718926,1.035180323349845,75.33582773264766,54.94525239712644
1,2026-07-25T04:18:51.999070Z,75.36023824431558,12.037238385850731,45.862882967107,5.902186154517036,4.084902466578196,1.6804184141813834,1.034125073759341,75.14304964008076,49.863239401583414
1,2026-07-25T04:18:52.999074Z,75.36025510551356,12.037242583770952,46.14470448438078,5.982609345511202,4.173303050304502,1.8227963625795864,1.1543634712758162,77.44314097764413,51.30793842505692
1,2026-07-25T04:18:53.999067Z,75.36026852593186,12.037246278665497,46.47379104141146,6.116773367460581,4.242041370139703,1.975091172377288,1.1445032339942494,80.99232581026763,46.93350030400601
1,2026-07-25T04:18:54.999061Z,75.3602887994516,12.037252695193017,46.365284322761,6.493303809531064,4.531799225708299,1.8094114349709747,1.1518161527240314,82.36129803402378,51.5721182762931
1,2026-07-25T04:18:55.999071Z,75.36030815355869,12.037259740794745,46.41563263442367,6.8401066398737695,4.810552873837203,1.6823736905693856,1.0420073649185764,81.41011471856159,50.17744370111626
1,2026-07-25T04:18:56.999070Z,75.36031742153078,12.037266640269692,45.87330492492765,6.840106642143598,4.4375234625564755,1.4501787219284135,1.1441455553180662,72.53844434871432,63.91678319753137
1,2026-07-25T04:18:57.999067Z,75.36032685107222,12.03726630064604,45.808304876089096,7.213747266764392,4.909990765749718,1.0657887763565348,1.1473205754082758,82.62275138136155,87.18401439331305
