segment,timestamp,longitude,latitude,altitude,horizontal accuracy,vertical accuracy,speed,speed accuracy,course,course accuracy
1,2026-07-25T06:08:50.999921Z,75.36360887427199,12.27423643836049,36.30571533832699,4.748651586138096,4.795971690918806,2.1258445528507015,2.697242192702855,141.8795928955078,91.63807337549738
1,2026-07-25T06:08:51.999919Z,75.36360974862946,12.274219310762774,36.113956443965435,4.748651577907965,4.929229511018306,1.8313107376071407,2.6979264664137417,141.8795928955078,99.00034283443891
1,2026-07-25T06:08:52.999916Z,75.36361445028038,12.27420049090187,35.75108943041414,4.7486515514888685,5.106505506700793,1.898987367799031,2.680104253004973,141.8795928955078,83.37306509438454
1,2026-07-25T06:08:53.999913Z,75.36362331647321,12.274182581716081,36.15985371079296,4.7486515506182005,5.076896147110691,2.057643976311372,2.7054244825793465,141.8795928955078,105.99640444626668
1,2026-07-25T06:08:54.999911Z,75.36363065760513,12.274167140530798,36.07193022593856,4.748651542944781,5.090009883830193,1.9894187866459738,2.6994942965262325,141.8795928955078,100.95320579667714
1,2026-07-25T06:08:55.999908Z,75.363637851665,12.274154400753005,35.705771535634995,4.748651535119487,5.091185574328923,1.760125874818613,2.5931988258237078,141.8795928955078,47.1469754112418
1,2026-07-25T06:08:56.999904Z,75.36363945251729,12.27414827061025,35.6378498384729,4.748651529900259,4.189435550330857,0.809878970086678,3.9082827759651564,141.8795928955078,180.0
1,2026-07-25T06:08:57.999901Z,75.36364333501136,12.274146273308514,35.74117499310523,4.748651529582001,4.208759634433039,0.33793940399589195,4.00711370010994,141.8795928955078,180.0
1,2026-07-25T06:08:58.999898Z,75.36365017285466,12.27414362220262,35.97268932405859,4.74865153122414,4.234088400885905,0.28028563626470016,4.009682628706449,141.8795928955078,180.0
1,2026-07-25T06:08:59.999895Z,75.36365038393082,12.274143050660541,36.05991511978209,4.7486515303194325,4.193011780063062,0.10421470205905058,3.9719559655638776,141.8795928955078,180.0
1,2026-07-25T06:09:00.999891Z,75.36364992051794,12.274143019121917,36.03041495755315,4.748651530191761,4.615895322613783,0.0,2.623056278536722,141.8795928955078,180.0
1,2026-07-25T06:09:01.999888Z,75.36365613822181,12.274136251873001,36.71368945669383,4.74865153082161,4.122858214563289,0.5571945090476401,3.9304487860464716,141.8795928955078,180.0
1,2026-07-25T06:09:02.999885Z,75.36366619342412,12.274123461661693,36.7546866517514,4.748651531267295,4.094823115431101,1.3910449170052062,3.9305032086708453,141.8795928955078,180.0
1,2026-07-25T06:09:03.999881Z,75.36367819477212,12.274110874034971,36.684995390474796,4.748651531823592,4.493454134201167,1.7029671033842257,1.0943265045695183,141.8795928955078,51.65625855916086
1,2026-07-25T06:09:04.999877Z,75.36368905359726,12.274095151012453,37.01674726605415,4.748651536694099,4.899524474967225,1.8167496871347268,0.8936059396314204,141.8795928955078,39.80787353264158
1,2026-07-25T06:09:05.999874Z,75.36370106112774,12.274072316031381,37.61235946044326,4.748651553845605,4.961527866057693,2.40080251334873,0.8880342279665637,142.20916748046875,29.570805323476407
